,Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,New_Item_Type,Outlet_Years
1487,FDT21,7.42,Low Fat,0.020391845,Snack Foods,248.9092,OUT046,1997,Small,Tier 1,Supermarket Type1,2241.0828,Food,16
1488,FDQ46,7.51,Low Fat,0.103813029,Snack Foods,113.7544,OUT046,1997,Small,Tier 1,Supermarket Type1,671.1264,Food,16
1489,FDS01,0.0,Low Fat,0.031069202999999997,Canned,179.6686,OUT019,1985,Small,Tier 1,Grocery Store,177.7686,Food,28
1490,FDW34,0.0,Low Fat,0.062294472999999996,Snack Foods,242.417,OUT019,1985,Small,Tier 1,Grocery Store,486.034,Food,28
1491,FDX07,19.2,Regular,0.022914478,Fruits and Vegetables,181.195,OUT035,2004,Small,Tier 2,Supermarket Type1,2380.235,Food,9
1492,FDN13,18.6,Low Fat,0.152058281,Breakfast,99.9358,OUT046,1997,Small,Tier 1,Supermarket Type1,201.0716,Food,16
1493,NCP02,7.105,Non-Edible,0.044991294,Household,59.2562,OUT018,2009,Medium,Tier 3,Supermarket Type2,651.8182,Non-Consumable,4
1494,FDT48,4.92,Low Fat,0.046214970999999994,Baking Goods,199.8084,OUT017,2007,Small,Tier 2,Supermarket Type1,3968.1679999999997,Food,6
1495,FDZ49,11.0,Regular,0.13312044,Canned,221.5798,OUT035,2004,Small,Tier 2,Supermarket Type1,4187.2162,Food,9
1496,NCJ17,7.68,Non-Edible,0.255348289,Health and Hygiene,84.4224,OUT010,1998,Small,Tier 3,Grocery Store,170.4448,Non-Consumable,15
1497,FDB17,13.15,Low Fat,0.036879538999999996,Frozen Foods,181.3976,OUT017,2007,Small,Tier 2,Supermarket Type1,3078.6592,Food,6
1498,FDP48,7.52,Regular,0.044202545,Baking Goods,182.995,OUT018,2009,Medium,Tier 3,Supermarket Type2,4394.28,Food,4
1499,FDI53,8.895,Regular,0.137858955,Frozen Foods,162.1236,OUT049,1999,Medium,Tier 1,Supermarket Type1,2577.9776,Food,14
1500,FDW02,4.805,Regular,0.037668051,Dairy,126.7704,OUT013,1987,High,Tier 3,Supermarket Type1,2628.5784,Food,26
1501,FDL20,0.0,Low Fat,0.224837308,Fruits and Vegetables,112.7886,OUT019,1985,Small,Tier 1,Grocery Store,222.3772,Food,28
1502,FDV32,7.785,Low Fat,0.089069748,Fruits and Vegetables,62.751000000000005,OUT018,2009,Medium,Tier 3,Supermarket Type2,1707.777,Food,4
1503,FDG38,8.975,Regular,0.053027397999999996,Canned,86.0224,OUT017,2007,Small,Tier 2,Supermarket Type1,1278.336,Food,6
1504,NCB31,0.0,Non-Edible,0.118099673,Household,262.89099999999996,OUT027,1985,Medium,Tier 3,Supermarket Type3,5522.811,Non-Consumable,28
1505,FDF52,9.3,Low Fat,0.06613202877895127,Frozen Foods,182.9292,OUT017,2007,Small,Tier 2,Supermarket Type1,4013.4424,Food,6
1506,FDB15,10.895,Low Fat,0.137023446,Dairy,263.7568,OUT049,1999,Medium,Tier 1,Supermarket Type1,7646.0472,Food,14
1507,FDO48,15.0,Regular,0.026950104,Baking Goods,220.9456,OUT018,2009,Medium,Tier 3,Supermarket Type2,1768.3648,Food,4
1508,NCR53,12.15,Non-Edible,0.06613202877895127,Health and Hygiene,224.4404,OUT018,2009,Medium,Tier 3,Supermarket Type2,5626.01,Non-Consumable,4
1509,FDF56,16.7,Regular,0.119362812,Fruits and Vegetables,180.3976,OUT013,1987,High,Tier 3,Supermarket Type1,3078.6592,Food,26
1510,FDL57,15.1,Regular,0.067350054,Snack Foods,257.3304,OUT018,2009,Medium,Tier 3,Supermarket Type2,3874.9559999999997,Food,4
1511,NCC31,8.02,Non-Edible,0.06613202877895127,Household,157.7972,OUT013,1987,High,Tier 3,Supermarket Type1,1713.7692,Non-Consumable,26
1512,FDE33,19.35,Regular,0.049712775,Fruits and Vegetables,78.2644,OUT049,1999,Medium,Tier 1,Supermarket Type1,1492.7236,Food,14
1513,FDV52,20.7,Regular,0.12220809099999999,Frozen Foods,119.7466,OUT017,2007,Small,Tier 2,Supermarket Type1,4006.7844,Food,6
1514,FDR46,0.0,Low Fat,0.138742518,Snack Foods,147.476,OUT027,1985,Medium,Tier 3,Supermarket Type3,3368.948,Food,28
1515,DRE12,4.59,Low Fat,0.070780558,Soft Drinks,114.586,OUT046,1997,Small,Tier 1,Supermarket Type1,1245.046,Drinks,16
1516,FDD57,18.1,Low Fat,0.037492325,Fruits and Vegetables,95.5094,OUT010,1998,Small,Tier 3,Grocery Store,95.2094,Food,15
1517,NCS41,12.85,Non-Edible,0.053527105,Health and Hygiene,185.1608,OUT049,1999,Medium,Tier 1,Supermarket Type1,2388.8904,Non-Consumable,14
1518,NCY41,16.75,Non-Edible,0.076164013,Health and Hygiene,34.0532,OUT017,2007,Small,Tier 2,Supermarket Type1,575.2512,Non-Consumable,6
1519,FDV22,14.85,Regular,0.009995002,Snack Foods,154.463,OUT017,2007,Small,Tier 2,Supermarket Type1,3755.112,Food,6
1520,FDF12,8.235,Low Fat,0.08259502,Baking Goods,149.1076,OUT045,2002,Small,Tier 2,Supermarket Type1,1182.4608,Food,11
1521,FDM13,6.425,Low Fat,0.063122753,Breakfast,131.3626,OUT013,1987,High,Tier 3,Supermarket Type1,262.3252,Food,26
1522,FDQ56,6.59,Low Fat,0.105597316,Fruits and Vegetables,83.4908,OUT046,1997,Small,Tier 1,Supermarket Type1,1342.2528,Food,16
1523,FDW55,0.0,Regular,0.021863506,Fruits and Vegetables,247.0092,OUT027,1985,Medium,Tier 3,Supermarket Type3,5478.2024,Food,28
1524,NCT29,0.0,Non-Edible,0.063800266,Health and Hygiene,123.0414,OUT027,1985,Medium,Tier 3,Supermarket Type3,4629.9732,Non-Consumable,28
1525,NCX42,6.36,Non-Edible,0.006012413,Household,163.0526,OUT017,2007,Small,Tier 2,Supermarket Type1,1644.526,Non-Consumable,6
1526,FDR24,17.35,Regular,0.06320719799999999,Baking Goods,89.383,OUT017,2007,Small,Tier 2,Supermarket Type1,1258.362,Food,6
1527,NCS42,8.6,Non-Edible,0.069809115,Household,90.5146,OUT017,2007,Small,Tier 2,Supermarket Type1,729.7168,Non-Consumable,6
1528,FDL40,17.7,Low Fat,0.011660463000000001,Frozen Foods,96.541,OUT018,2009,Medium,Tier 3,Supermarket Type2,2220.4429999999998,Food,4
1529,FDD47,7.6,Regular,0.142410775,Starchy Foods,171.9448,OUT046,1997,Small,Tier 1,Supermarket Type1,3749.7856,Food,16
1530,DRE03,19.6,Low Fat,0.024226902,Dairy,48.7718,OUT046,1997,Small,Tier 1,Supermarket Type1,236.359,Drinks,16
1531,NCM18,0.0,Non-Edible,0.082440705,Household,61.3194,OUT027,1985,Medium,Tier 3,Supermarket Type3,2043.3402,Non-Consumable,28
1532,FDF52,9.3,Low Fat,0.066918731,Frozen Foods,184.2292,OUT045,2002,Small,Tier 2,Supermarket Type1,1641.8628,Food,11
1533,NCG43,20.2,Non-Edible,0.07439000700000001,Household,91.4462,OUT045,2002,Small,Tier 2,Supermarket Type1,1943.4702,Non-Consumable,11
1534,FDE20,11.35,Regular,0.005530516,Fruits and Vegetables,171.179,OUT046,1997,Small,Tier 1,Supermarket Type1,4923.590999999999,Food,16
1535,FDI33,16.5,Low Fat,0.028579565,Snack Foods,90.3146,OUT017,2007,Small,Tier 2,Supermarket Type1,2554.0088,Food,6
1536,NCT06,17.1,Non-Edible,0.038705317,Household,165.0842,OUT013,1987,High,Tier 3,Supermarket Type1,2320.9788,Non-Consumable,26
1537,FDY24,4.88,Regular,0.06613202877895127,Baking Goods,53.1298,OUT035,2004,Small,Tier 2,Supermarket Type1,808.947,Food,9
1538,FDZ33,10.195,Low Fat,0.10800453199999999,Snack Foods,148.7076,OUT017,2007,Small,Tier 2,Supermarket Type1,1330.2684,Food,6
1539,FDJ55,12.8,Regular,0.023626808,Meat,223.2404,OUT018,2009,Medium,Tier 3,Supermarket Type2,2475.4444,Food,4
1540,FDE45,0.0,Low Fat,0.070660449,Fruits and Vegetables,180.4002,OUT019,1985,Small,Tier 1,Grocery Store,716.4008,Food,28
1541,FDD44,8.05,Regular,0.078719835,Fruits and Vegetables,258.5646,OUT018,2009,Medium,Tier 3,Supermarket Type2,3091.9752,Food,4
1542,FDD10,20.6,Regular,0.046208155,Snack Foods,178.0344,OUT018,2009,Medium,Tier 3,Supermarket Type2,1605.9096,Food,4
1543,FDA39,6.32,Low Fat,0.012769753,Meat,39.9822,OUT018,2009,Medium,Tier 3,Supermarket Type2,78.5644,Food,4
1544,FDB36,5.465,Regular,0.048486800999999996,Baking Goods,131.2626,OUT013,1987,High,Tier 3,Supermarket Type1,3410.2276,Food,26
1545,FDK52,18.25,Low Fat,0.132596101,Frozen Foods,226.2062,OUT010,1998,Small,Tier 3,Grocery Store,677.1186,Food,15
1546,FDJ36,14.5,Regular,0.128459481,Baking Goods,102.0332,OUT049,1999,Medium,Tier 1,Supermarket Type1,2050.6639999999998,Food,14
1547,NCB55,15.7,Non-Edible,0.161317495,Household,57.5562,OUT018,2009,Medium,Tier 3,Supermarket Type2,829.5868,Non-Consumable,4
1548,NCK18,9.6,Non-Edible,0.011211251,Household,166.9184,OUT010,1998,Small,Tier 3,Grocery Store,660.4736,Non-Consumable,15
1549,FDX27,20.7,Regular,0.11429451199999999,Dairy,94.9436,OUT049,1999,Medium,Tier 1,Supermarket Type1,1229.0668,Food,14
1550,FDB08,6.055,Low Fat,0.031103357,Fruits and Vegetables,159.9578,OUT046,1997,Small,Tier 1,Supermarket Type1,2727.7826,Food,16
1551,FDX43,5.655,Low Fat,0.08527498800000001,Fruits and Vegetables,165.05,OUT046,1997,Small,Tier 1,Supermarket Type1,2330.3,Food,16
1552,FDA20,6.78,Low Fat,0.066892471,Fruits and Vegetables,186.424,OUT018,2009,Medium,Tier 3,Supermarket Type2,1304.968,Food,4
1553,FDC04,0.0,Low Fat,0.078764059,Dairy,241.3854,OUT019,1985,Small,Tier 1,Grocery Store,483.3708,Food,28
1554,FDG17,6.865,Regular,0.036042938999999996,Frozen Foods,244.4486,OUT017,2007,Small,Tier 2,Supermarket Type1,4153.9262,Food,6
1555,FDU58,6.61,Regular,0.04855968,Snack Foods,188.4898,OUT010,1998,Small,Tier 3,Grocery Store,187.0898,Food,15
1556,FDP24,0.0,Low Fat,0.082602127,Baking Goods,120.9756,OUT027,1985,Medium,Tier 3,Supermarket Type3,3877.6192,Food,28
1557,NCT29,12.6,Non-Edible,0.064240743,Health and Hygiene,121.9414,OUT045,2002,Small,Tier 2,Supermarket Type1,1462.0968,Non-Consumable,11
1558,FDB08,6.055,Low Fat,0.031230058999999998,Fruits and Vegetables,160.3578,OUT018,2009,Medium,Tier 3,Supermarket Type2,1765.0358,Food,4
1559,NCB43,20.2,Non-Edible,0.100114941,Household,188.3898,OUT045,2002,Small,Tier 2,Supermarket Type1,3554.7062,Non-Consumable,11
1560,FDL09,0.0,Regular,0.22417463,Snack Foods,168.8816,OUT019,1985,Small,Tier 1,Grocery Store,167.7816,Food,28
1561,DRK49,14.15,Low Fat,0.035943717,Soft Drinks,40.5138,OUT046,1997,Small,Tier 1,Supermarket Type1,446.7518,Drinks,16
1562,FDR37,16.5,Regular,0.06619442,Breakfast,184.4292,OUT013,1987,High,Tier 3,Supermarket Type1,3101.2964,Food,26
1563,FDG56,13.3,Regular,0.07143905099999999,Fruits and Vegetables,61.0536,OUT035,2004,Small,Tier 2,Supermarket Type1,1898.8616,Food,9
1564,FDE34,9.195,Low Fat,0.108059141,Snack Foods,181.7634,OUT049,1999,Medium,Tier 1,Supermarket Type1,6179.9556,Food,14
1565,FDE16,0.0,Low Fat,0.026216144,Frozen Foods,207.5954,OUT027,1985,Medium,Tier 3,Supermarket Type3,6668.6528,Food,28
1566,FDT58,9.0,Low Fat,0.085938463,Snack Foods,168.6816,OUT035,2004,Small,Tier 2,Supermarket Type1,1342.2528,Food,9
1567,FDR03,15.7,Regular,0.008734284,Meat,207.898,OUT035,2004,Small,Tier 2,Supermarket Type1,3095.97,Food,9
1568,NCL30,18.1,Non-Edible,0.049016517,Household,128.7336,OUT049,1999,Medium,Tier 1,Supermarket Type1,2173.1712,Non-Consumable,14
1569,FDT22,0.0,Low Fat,0.111554381,Snack Foods,59.821999999999996,OUT027,1985,Medium,Tier 3,Supermarket Type3,1677.816,Food,28
1570,FDP45,15.7,Regular,0.030672457,Snack Foods,253.1724,OUT049,1999,Medium,Tier 1,Supermarket Type1,5285.1204,Food,14
1571,FDS15,9.195,Regular,0.07799564099999999,Meat,107.1596,OUT013,1987,High,Tier 3,Supermarket Type1,2804.3496,Food,26
1572,FDF16,0.0,Low Fat,0.08571527300000001,Frozen Foods,146.6076,OUT027,1985,Medium,Tier 3,Supermarket Type3,1773.6912,Food,28
1573,FDL13,13.85,Regular,0.05643278400000001,Breakfast,234.93,OUT045,2002,Small,Tier 2,Supermarket Type1,4660.6,Food,11
1574,NCV30,20.2,Non-Edible,0.066200667,Household,61.451,OUT018,2009,Medium,Tier 3,Supermarket Type2,126.50200000000001,Non-Consumable,4
1575,FDG33,0.0,Regular,0.24554262699999999,Seafood,172.2764,OUT019,1985,Small,Tier 1,Grocery Store,171.7764,Food,28
1576,FDO10,13.65,Regular,0.012751700000000001,Snack Foods,55.5588,OUT046,1997,Small,Tier 1,Supermarket Type1,1603.2464,Food,16
1577,FDQ03,15.0,Regular,0.07794933400000001,Meat,238.7248,OUT013,1987,High,Tier 3,Supermarket Type1,2133.2232,Food,26
1578,NCC55,10.695,Non-Edible,0.06402288099999999,Household,36.0848,OUT018,2009,Medium,Tier 3,Supermarket Type2,372.848,Non-Consumable,4
1579,FDD52,0.0,Regular,0.182407266,Dairy,109.15700000000001,OUT027,1985,Medium,Tier 3,Supermarket Type3,1867.569,Food,28
1580,FDI16,14.0,Regular,0.136328794,Frozen Foods,54.864,OUT018,2009,Medium,Tier 3,Supermarket Type2,319.584,Food,4
1581,FDB44,6.655,Low Fat,0.016958832,Fruits and Vegetables,210.0586,OUT046,1997,Small,Tier 1,Supermarket Type1,4221.1720000000005,Food,16
1582,FDA25,16.5,Regular,0.068125756,Canned,101.199,OUT046,1997,Small,Tier 1,Supermarket Type1,1031.99,Food,16
1583,FDV33,9.6,Regular,0.02734361,Snack Foods,257.8304,OUT046,1997,Small,Tier 1,Supermarket Type1,1808.3128,Food,16
1584,FDX47,6.55,Regular,0.034658144,Breads,155.8288,OUT049,1999,Medium,Tier 1,Supermarket Type1,1099.9016,Food,14
1585,FDO50,16.25,Low Fat,0.06613202877895127,Canned,89.8804,OUT017,2007,Small,Tier 2,Supermarket Type1,1102.5648,Food,6
1586,FDV57,15.25,Regular,0.065841719,Snack Foods,179.86599999999999,OUT013,1987,High,Tier 3,Supermarket Type1,2696.49,Food,26
1587,FDB02,9.695,Regular,0.029158762999999997,Canned,174.537,OUT035,2004,Small,Tier 2,Supermarket Type1,1235.059,Food,9
1588,FDD16,0.0,Low Fat,0.063649582,Frozen Foods,74.7696,OUT019,1985,Small,Tier 1,Grocery Store,74.5696,Food,28
1589,FDX02,16.0,Low Fat,0.05706009,Dairy,225.0404,OUT046,1997,Small,Tier 1,Supermarket Type1,4950.8888,Food,16
1590,FDP11,15.85,Low Fat,0.11566015,Breads,218.3166,OUT010,1998,Small,Tier 3,Grocery Store,435.4332,Food,15
1591,FDH32,0.0,Low Fat,0.075691713,Fruits and Vegetables,98.241,OUT027,1985,Medium,Tier 3,Supermarket Type3,2220.4429999999998,Food,28
1592,NCL18,18.85,Non-Edible,0.167844438,Household,193.9136,OUT049,1999,Medium,Tier 1,Supermarket Type1,3110.6176,Non-Consumable,14
1593,FDT12,6.215,Regular,0.049722335,Baking Goods,224.5062,OUT045,2002,Small,Tier 2,Supermarket Type1,4514.124,Food,11
1594,FDD50,0.0,Low Fat,0.14095631,Canned,167.7132,OUT027,1985,Medium,Tier 3,Supermarket Type3,3889.6036,Food,28
1595,NCU05,11.8,Non-Edible,0.058827557,Health and Hygiene,80.8618,OUT049,1999,Medium,Tier 1,Supermarket Type1,1288.9888,Non-Consumable,14
1596,FDI56,7.325,Low Fat,0.093765794,Fruits and Vegetables,90.3146,OUT018,2009,Medium,Tier 3,Supermarket Type2,1733.0774,Food,4
1597,DRL11,10.5,Low Fat,0.048092816,Hard Drinks,159.2946,OUT049,1999,Medium,Tier 1,Supermarket Type1,1893.5352,Drinks,14
1598,FDQ08,15.7,Regular,0.018968743,Fruits and Vegetables,61.9536,OUT045,2002,Small,Tier 2,Supermarket Type1,1225.072,Food,11
1599,FDW20,0.0,Low Fat,0.024032484,Fruits and Vegetables,124.973,OUT027,1985,Medium,Tier 3,Supermarket Type3,2463.46,Food,28
1600,FDW46,13.0,Regular,0.070444232,Snack Foods,63.4484,OUT045,2002,Small,Tier 2,Supermarket Type1,1043.9744,Food,11
1601,FDO09,13.5,Regular,0.125469442,Snack Foods,264.491,OUT049,1999,Medium,Tier 1,Supermarket Type1,6574.775,Food,14
1602,DRJ49,6.865,Low Fat,0.01405025,Soft Drinks,128.9652,OUT018,2009,Medium,Tier 3,Supermarket Type2,1679.1476,Drinks,4
1603,FDP26,7.785,Low Fat,0.139436695,Dairy,103.0306,OUT013,1987,High,Tier 3,Supermarket Type1,2404.2038,Food,26
1604,FDO19,17.7,Regular,0.016593506,Fruits and Vegetables,46.9034,OUT035,2004,Small,Tier 2,Supermarket Type1,972.068,Food,9
1605,NCG43,20.2,Non-Edible,0.124261614,Household,93.6462,OUT010,1998,Small,Tier 3,Grocery Store,277.6386,Non-Consumable,15
1606,FDG02,7.855,Low Fat,0.011261165,Canned,189.5188,OUT046,1997,Small,Tier 1,Supermarket Type1,1904.1879999999999,Food,16
1607,FDO32,6.36,Low Fat,0.120520818,Fruits and Vegetables,45.906000000000006,OUT035,2004,Small,Tier 2,Supermarket Type1,419.454,Food,9
1608,FDR34,17.0,Regular,0.015965308,Snack Foods,229.4352,OUT046,1997,Small,Tier 1,Supermarket Type1,4809.7392,Food,16
1609,FDU59,5.78,Low Fat,0.09638622699999999,Breads,163.5552,OUT046,1997,Small,Tier 1,Supermarket Type1,1787.0072,Food,16
1610,FDN31,11.5,Low Fat,0.073029341,Fruits and Vegetables,187.953,OUT045,2002,Small,Tier 2,Supermarket Type1,2656.542,Food,11
1611,FDT55,0.0,Regular,0.043443752999999995,Fruits and Vegetables,158.1946,OUT027,1985,Medium,Tier 3,Supermarket Type3,6942.9624,Food,28
1612,FDE08,18.2,Low Fat,0.049520592999999995,Fruits and Vegetables,147.3734,OUT018,2009,Medium,Tier 3,Supermarket Type2,2375.5744,Food,4
1613,FDK52,18.25,Low Fat,0.079152918,Frozen Foods,223.8062,OUT013,1987,High,Tier 3,Supermarket Type1,4288.4178,Food,26
1614,FDW11,12.6,Low Fat,0.048741487,Breads,60.4194,OUT013,1987,High,Tier 3,Supermarket Type1,990.7104,Food,26
1615,FDC03,8.575,Regular,0.071958197,Dairy,195.3794,OUT049,1999,Medium,Tier 1,Supermarket Type1,3511.4292,Food,14
1616,FDR43,18.2,Low Fat,0.162147349,Fruits and Vegetables,37.719,OUT018,2009,Medium,Tier 3,Supermarket Type2,549.285,Food,4
1617,FDL14,8.115,Regular,0.05382735,Canned,155.2972,OUT010,1998,Small,Tier 3,Grocery Store,311.5944,Food,15
1618,FDP39,12.65,Low Fat,0.069565759,Meat,52.4324,OUT045,2002,Small,Tier 2,Supermarket Type1,571.2564,Food,11
1619,FDG29,0.0,Low Fat,0.056019324,Frozen Foods,40.0454,OUT027,1985,Medium,Tier 3,Supermarket Type3,419.454,Food,28
1620,DRH15,8.775,Low Fat,0.10991127199999999,Dairy,41.9428,OUT046,1997,Small,Tier 1,Supermarket Type1,1537.9979999999998,Drinks,16
1621,FDT11,5.94,Regular,0.029366813,Breads,187.7556,OUT035,2004,Small,Tier 2,Supermarket Type1,3755.112,Food,9
1622,FDU48,18.85,Low Fat,0.055347985,Baking Goods,131.5284,OUT035,2004,Small,Tier 2,Supermarket Type1,1581.9408,Food,9
1623,FDY12,9.8,Regular,0.06613202877895127,Baking Goods,49.2008,OUT013,1987,High,Tier 3,Supermarket Type1,657.8104,Food,26
1624,FDS44,12.65,Regular,0.156926608,Fruits and Vegetables,238.3538,OUT017,2007,Small,Tier 2,Supermarket Type1,5528.1374,Food,6
1625,NCP06,20.7,Non-Edible,0.039405676,Household,149.8366,OUT018,2009,Medium,Tier 3,Supermarket Type2,2267.049,Non-Consumable,4
1626,DRH23,14.65,Low Fat,0.17017651600000003,Hard Drinks,55.2614,OUT013,1987,High,Tier 3,Supermarket Type1,718.3982,Drinks,26
1627,FDA16,0.0,Low Fat,0.033777628999999997,Frozen Foods,222.8456,OUT027,1985,Medium,Tier 3,Supermarket Type3,7073.4592,Food,28
1628,FDT45,15.85,Low Fat,0.057546914000000005,Snack Foods,55.8956,OUT018,2009,Medium,Tier 3,Supermarket Type2,491.3604,Food,4
1629,FDE56,17.25,Regular,0.16009590099999998,Fruits and Vegetables,61.5194,OUT017,2007,Small,Tier 2,Supermarket Type1,1052.6298,Food,6
1630,FDA40,16.0,Regular,0.09983272800000001,Frozen Foods,87.4856,OUT017,2007,Small,Tier 2,Supermarket Type1,263.6568,Food,6
1631,FDA39,6.32,Low Fat,0.012717946,Meat,40.2822,OUT046,1997,Small,Tier 1,Supermarket Type1,628.5152,Food,16
1632,NCB19,6.525,Non-Edible,0.09027863400000001,Household,86.7882,OUT035,2004,Small,Tier 2,Supermarket Type1,1975.4286,Non-Consumable,9
1633,FDZ34,6.695,Low Fat,0.06613202877895127,Starchy Foods,191.882,OUT013,1987,High,Tier 3,Supermarket Type1,3861.64,Food,26
1634,FDV22,14.85,Regular,0.009958940999999999,Snack Foods,157.963,OUT045,2002,Small,Tier 2,Supermarket Type1,2816.3340000000003,Food,11
1635,FDO40,17.1,Low Fat,0.032678839,Frozen Foods,150.7392,OUT049,1999,Medium,Tier 1,Supermarket Type1,3131.9232,Food,14
1636,FDD21,10.3,Regular,0.06613202877895127,Fruits and Vegetables,115.0176,OUT013,1987,High,Tier 3,Supermarket Type1,4122.6336,Food,26
1637,FDO36,19.7,Low Fat,0.077849003,Baking Goods,179.166,OUT013,1987,High,Tier 3,Supermarket Type1,3056.022,Food,26
1638,FDV34,10.695,Regular,0.011443222,Snack Foods,73.5038,OUT049,1999,Medium,Tier 1,Supermarket Type1,1478.076,Food,14
1639,NCY18,7.285,Non-Edible,0.031214809,Household,177.1054,OUT045,2002,Small,Tier 2,Supermarket Type1,2626.5809999999997,Non-Consumable,11
1640,NCM54,17.7,Non-Edible,0.051146565,Household,127.3678,OUT018,2009,Medium,Tier 3,Supermarket Type2,3306.3628,Non-Consumable,4
1641,FDB59,18.25,Low Fat,0.015302653000000001,Snack Foods,198.0084,OUT049,1999,Medium,Tier 1,Supermarket Type1,793.6336,Food,14
1642,FDS45,5.175,Regular,0.04937018,Snack Foods,106.7622,OUT010,1998,Small,Tier 3,Grocery Store,211.7244,Food,15
1643,FDV24,5.635,Low Fat,0.06613202877895127,Baking Goods,148.705,OUT049,1999,Medium,Tier 1,Supermarket Type1,1198.44,Food,14
1644,FDD46,6.035,Low Fat,0.23643360100000002,Snack Foods,155.5998,OUT010,1998,Small,Tier 3,Grocery Store,153.7998,Food,15
1645,FDQ39,14.8,Low Fat,0.081372267,Meat,191.4846,OUT018,2009,Medium,Tier 3,Supermarket Type2,3057.3536,Food,4
1646,FDD52,18.25,Regular,0.18329488,Dairy,111.65700000000001,OUT046,1997,Small,Tier 1,Supermarket Type1,1537.9979999999998,Food,16
1647,FDL39,16.1,Regular,0.06358934,Dairy,179.4318,OUT018,2009,Medium,Tier 3,Supermarket Type2,360.8636,Food,4
1648,FDV02,16.75,Low Fat,0.060792265,Dairy,170.4106,OUT018,2009,Medium,Tier 3,Supermarket Type2,513.3318,Food,4
1649,FDE11,17.7,Regular,0.06613202877895127,Starchy Foods,184.3924,OUT046,1997,Small,Tier 1,Supermarket Type1,4257.1252,Food,16
1650,NCU54,8.88,Non-Edible,0.098775709,Household,208.92700000000002,OUT049,1999,Medium,Tier 1,Supermarket Type1,7130.718000000001,Non-Consumable,14
1651,FDR43,18.2,Low Fat,0.270300331,Fruits and Vegetables,38.319,OUT010,1998,Small,Tier 3,Grocery Store,109.85700000000001,Food,15
1652,FDD51,11.15,Low Fat,0.119852889,Dairy,44.9744,OUT013,1987,High,Tier 3,Supermarket Type1,498.0184,Food,26
1653,FDO60,20.0,Low Fat,0.034563936,Baking Goods,45.3086,OUT017,2007,Small,Tier 2,Supermarket Type1,490.6946,Food,6
1654,NCS06,7.935,Non-Edible,0.031710329,Household,263.091,OUT013,1987,High,Tier 3,Supermarket Type1,5522.811,Non-Consumable,26
1655,FDX50,20.1,Low Fat,0.074778547,Dairy,110.7228,OUT045,2002,Small,Tier 2,Supermarket Type1,1657.842,Food,11
1656,FDQ55,13.65,Regular,0.013035608999999998,Fruits and Vegetables,114.7834,OUT035,2004,Small,Tier 2,Supermarket Type1,3455.502,Food,9
1657,FDL52,6.635,Regular,0.046277955999999995,Frozen Foods,36.7506,OUT018,2009,Medium,Tier 3,Supermarket Type2,75.9012,Food,4
1658,FDK52,18.25,Low Fat,0.07937949999999999,Frozen Foods,226.1062,OUT045,2002,Small,Tier 2,Supermarket Type1,6771.186,Food,11
1659,NCO02,11.15,Non-Edible,0.073783159,Others,66.0142,OUT017,2007,Small,Tier 2,Supermarket Type1,988.7130000000001,Non-Consumable,6
1660,NCO30,19.5,Non-Edible,0.01572192,Household,185.6608,OUT035,2004,Small,Tier 2,Supermarket Type1,918.804,Non-Consumable,9
1661,FDA33,6.48,Low Fat,0.033952603,Snack Foods,148.2076,OUT049,1999,Medium,Tier 1,Supermarket Type1,3399.5748,Food,14
1662,FDB12,11.15,Regular,0.10522002400000001,Baking Goods,102.7648,OUT013,1987,High,Tier 3,Supermarket Type1,1142.5128,Food,26
1663,FDT40,5.985,Low Fat,0.09571560800000001,Frozen Foods,125.8678,OUT013,1987,High,Tier 3,Supermarket Type1,3560.6984,Food,26
1664,NCO05,7.27,Non-Edible,0.046822808,Health and Hygiene,99.3384,OUT017,2007,Small,Tier 2,Supermarket Type1,2759.0752,Non-Consumable,6
1665,FDR32,6.78,Regular,0.06613202877895127,Fruits and Vegetables,227.5694,OUT049,1999,Medium,Tier 1,Supermarket Type1,3653.9104,Food,14
1666,FDM04,9.195,Regular,0.04731256,Frozen Foods,50.7666,OUT018,2009,Medium,Tier 3,Supermarket Type2,512.6659999999999,Food,4
1667,DRL01,19.5,Regular,0.077108099,Soft Drinks,232.8958,OUT013,1987,High,Tier 3,Supermarket Type1,5608.6992,Drinks,26
1668,FDQ56,6.59,Low Fat,0.10602747400000001,Fruits and Vegetables,83.9908,OUT018,2009,Medium,Tier 3,Supermarket Type2,1426.1436,Food,4
1669,FDH08,7.51,Low Fat,0.01742908,Fruits and Vegetables,229.601,OUT046,1997,Small,Tier 1,Supermarket Type1,6201.927,Food,16
1670,NCQ06,0.0,Non-Edible,0.073229342,Household,254.1014,OUT019,1985,Small,Tier 1,Grocery Store,255.0014,Non-Consumable,28
1671,FDG16,0.0,Low Fat,0.157257637,Frozen Foods,215.0192,OUT019,1985,Small,Tier 1,Grocery Store,1078.596,Food,28
1672,FDZ40,0.0,Low Fat,0.039988162,Frozen Foods,55.7298,OUT027,1985,Medium,Tier 3,Supermarket Type3,1024.6662,Food,28
1673,FDY51,12.5,Low Fat,0.081119484,Meat,220.0798,OUT035,2004,Small,Tier 2,Supermarket Type1,1322.2788,Food,9
